1000
10000
1	242	241	2014-07-27	2014-07-30	24200
2	246	245	2014-08-01	2014-08-04	24600
3	250	249	2014-08-06	2014-08-09	25000
4	254	253	2014-08-11	2014-08-14	25400
5	258	257	2014-08-16	2014-08-19	25800
6	262	261	2014-08-21	2014-08-24	26200
7	353	352	2014-08-31	2014-09-04	35300
8	355	354	2014-09-10	2014-09-14	35500
9	357	356	2014-09-20	2014-09-24	35700
10	359	358	2014-09-30	2014-10-04	35900
11	362	361	2014-10-10	2014-10-14	36200
12	363	362	2014-10-20	2014-10-24	36300
13	365	364	2014-10-30	2014-11-03	36500
14	367	366	2014-11-09	2014-11-13	36700
15	369	368	2014-11-19	2014-11-23	36900
16	372	371	2014-11-29	2014-12-03	37200
17	373	372	2014-12-09	2014-12-13	37300
18	375	374	2014-12-19	2014-12-23	37500
19	2	1	2013-12-13	2013-12-18	200
20	6	5	2013-12-17	2013-12-22	600
21	3	2	2013-12-21	2013-12-26	300
22	7	6	2013-12-25	2013-12-30	700
23	9	8	2013-12-29	2014-01-03	900
24	2	1	2014-01-02	2014-01-06	200
25	6	5	2014-01-06	2014-01-10	600
26	20	19	2014-01-10	2014-01-14	2000
27	62	61	2014-01-14	2014-01-18	6200
28	22	21	2014-01-18	2014-01-22	2200
29	22	21	2014-01-25	2014-01-28	2200
30	24	23	2014-02-01	2014-02-04	2400
31	26	25	2014-02-08	2014-02-11	2600
32	28	27	2014-02-15	2014-02-18	2800
33	30	29	2014-02-22	2014-02-25	3000
34	32	31	2014-03-01	2014-03-04	3200
35	35	34	2014-03-08	2014-03-11	3500
36	38	37	2014-03-15	2014-03-16	3800
37	42	41	2014-03-22	2014-03-23	4200
38	44	43	2014-03-29	2014-03-30	4400
39	47	46	2013-12-13	2013-12-14	4700
40	50	49	2013-12-17	2013-12-18	5000
41	53	52	2013-12-21	2013-12-22	5300
42	2	1	2013-12-25	2013-12-26	200
43	7	6	2013-12-29	2013-12-30	700
44	23	22	2014-01-02	2014-01-03	2300
45	29	28	2014-01-06	2014-01-07	2900
46	25	24	2014-01-10	2014-01-11	2500
47	32	31	2014-01-14	2014-01-15	3200
48	37	36	2014-01-18	2014-01-19	3700
49	43	42	2014-01-25	2014-01-26	4300
50	29	28	2014-02-01	2014-02-02	2900
51	26	25	2014-02-08	2014-02-09	2600
52	2434	2433	2015-08-26	2015-09-04	243400
53	4	3	2015-08-27	2015-09-05	400
54	2	1	2015-08-28	2015-09-06	200
55	3	2	2015-08-29	2015-09-07	300
56	5	4	2015-08-30	2015-09-08	500
57	7	6	2015-08-31	2015-09-09	700
58	9	8	2015-09-01	2015-09-10	900
59	22	21	2015-09-02	2015-09-11	2200
60	23	22	2015-09-03	2015-09-12	2300
61	25	24	2015-09-04	2015-09-13	2500
62	27	26	2015-09-05	2015-09-14	2700
63	29	28	2015-09-06	2015-09-15	2900
64	22	21	2015-09-07	2015-09-16	2200
65	23	22	2015-09-08	2015-09-17	2300
66	25	24	2015-09-09	2015-09-18	2500
67	27	26	2015-09-10	2015-09-19	2700
68	29	28	2015-09-11	2015-09-20	2900
69	32	31	2015-09-12	2015-09-21	3200
70	33	32	2015-09-13	2015-09-22	3300
71	35	34	2015-09-14	2015-09-23	3500
72	37	36	2015-09-15	2015-09-24	3700
73	39	38	2015-09-16	2015-09-25	3900
74	42	41	2015-09-17	2015-09-26	4200
75	43	42	2015-09-18	2015-09-27	4300
76	45	44	2015-09-19	2015-09-28	4500
77	47	46	2015-09-20	2015-09-29	4700
78	49	48	2015-09-21	2015-09-30	4900
79	52	51	2015-09-22	2015-10-01	5200
80	53	52	2015-09-23	2015-10-02	5300
81	55	54	2015-09-24	2015-10-03	5500
82	57	56	2015-09-25	2015-10-04	5700
83	59	58	2015-09-26	2015-10-05	5900
84	62	61	2015-09-27	2015-10-06	6200
85	63	62	2015-09-28	2015-10-07	6300
86	65	64	2015-09-29	2015-10-08	6500
87	67	66	2015-09-30	2015-10-09	6700
88	69	68	2015-10-01	2015-10-10	6900
89	72	71	2015-10-02	2015-10-11	7200
90	73	72	2015-10-03	2015-10-12	7300
91	75	74	2015-10-04	2015-10-13	7500
92	77	76	2015-10-05	2015-10-14	7700
93	79	78	2015-10-06	2015-10-15	7900
94	82	81	2015-10-07	2015-10-16	8200
95	83	82	2015-10-08	2015-10-17	8300
96	85	84	2015-10-09	2015-10-18	8500
97	87	86	2015-10-10	2015-10-19	8700
98	89	88	2015-10-11	2015-10-20	8900
99	92	91	2015-10-12	2015-10-16	9200
100	93	92	2015-10-13	2015-10-17	9300
101	95	94	2015-10-14	2015-10-18	9500
102	97	96	2015-10-15	2015-10-19	9700
103	99	98	2015-10-16	2015-10-20	9900
104	202	201	2015-10-17	2015-10-21	20200
105	203	202	2015-10-18	2015-10-22	20300
106	205	204	2015-10-19	2015-10-23	20500
107	207	206	2015-10-20	2015-10-24	20700
108	209	208	2015-10-21	2015-10-25	20900
109	222	221	2015-10-22	2015-10-26	22200
110	223	222	2015-10-23	2015-10-27	22300
111	225	224	2015-10-24	2015-10-28	22500
112	227	226	2015-10-25	2015-10-29	22700
